Par,Origem ID,Origem,Destino ID,Destino,Distância reta (km),Modo recomendado,Tempo estimado (min),Tempo planejamento (min),Confiança,Observação
L06-L17,L06,QC NY Spa,L17,Grand Central Terminal,7.49,Ferry + metrô/ônibus/caminhada,49,60,Média,Inclui conexão e espera de ferry; confirmar grade do dia.
L06-L18,L06,QC NY Spa,L18,Tudor City Overpass,7.41,Ferry + metrô/ônibus/caminhada,49,60,Média,Inclui conexão e espera de ferry; confirmar grade do dia.
L06-L19,L06,QC NY Spa,L19,United Nations Headquarters,7.6,Ferry + metrô/ônibus/caminhada,49,60,Média,Inclui conexão e espera de ferry; confirmar grade do dia.
L06-L20,L06,QC NY Spa,L20,Moynihan Train Hall,6.76,Ferry + metrô/ônibus/caminhada,47,60,Média,Inclui conexão e espera de ferry; confirmar grade do dia.
L06-L21,L06,QC NY Spa,L21,Herald Square,6.87,Ferry + metrô/ônibus/caminhada,47,60,Média,Inclui conexão e espera de ferry; confirmar grade do dia.
L06-L22,L06,QC NY Spa,L22,Empire State Building,6.74,Ferry + metrô/ônibus/caminhada,47,60,Média,Inclui conexão e espera de ferry; confirmar grade do dia.
L06-L23,L06,QC NY Spa,L23,Madison Square Garden,6.73,Ferry + metrô/ônibus/caminhada,46,60,Média,Inclui conexão e espera de ferry; confirmar grade do dia.
L06-L24,L06,QC NY Spa,L24,Gerald Schoenfeld Theatre — Broadway,7.73,Ferry + metrô/ônibus/caminhada,50,60,Média,Inclui conexão e espera de ferry; confirmar grade do dia.
L06-L25,L06,QC NY Spa,L25,Times Square,7.64,Ferry + metrô/ônibus/caminhada,49,60,Média,Inclui conexão e espera de ferry; confirmar grade do dia.
L06-L26,L06,QC NY Spa,L26,Flatiron Building,5.85,Ferry + metrô/ônibus/caminhada,44,55,Média,Inclui conexão e espera de ferry; confirmar grade do dia.
L06-L27,L06,QC NY Spa,L27,The Battery,1.12,Ferry + caminhada,20,25,Média,Inclui espera/embarque operacional no ferry.
L06-L28,L06,QC NY Spa,L28,Chinatown — Columbus Park,2.89,Ferry + metrô/ônibus/caminhada,35,45,Média,Inclui conexão e espera de ferry; confirmar grade do dia.
L06-L29,L06,QC NY Spa,L29,Brooklyn Bridge,2.3,Ferry + metrô/ônibus/caminhada,34,45,Média,Inclui conexão e espera de ferry; confirmar grade do dia.
L06-L30,L06,QC NY Spa,L30,DUMBO — Washington & Water,2.64,Ferry + metrô/ônibus/caminhada,41,55,Média,Inclui conexão e espera de ferry; confirmar grade do dia.
L06-L31,L06,QC NY Spa,L31,Brooklyn Bridge Park — Pier 1,2.07,Ferry + metrô/ônibus/caminhada,39,50,Média,Inclui conexão e espera de ferry; confirmar grade do dia.
L06-L32,L06,QC NY Spa,L32,Brooklyn Heights Promenade,1.82,Ferry + metrô/ônibus/caminhada,39,50,Média,Inclui conexão e espera de ferry; confirmar grade do dia.
L07-L08,L07,WORLD SPA,L08,ARTE MUSEUM New York,14.98,Metrô + caminhada,64,80,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L07-L09,L07,WORLD SPA,L09,Chelsea Market,14.3,Metrô + caminhada,62,80,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L07-L10,L07,WORLD SPA,L10,High Line — Chelsea/Gansevoort,14.35,Metrô + caminhada,62,80,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L07-L11,L07,WORLD SPA,L11,Little Island,14.38,Metrô + caminhada,62,80,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L07-L12,L07,WORLD SPA,L12,MoMA,16.27,Metrô + caminhada,68,85,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L07-L13,L07,WORLD SPA,L13,Rockefeller Center,15.96,Metrô + caminhada,67,85,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L07-L14,L07,WORLD SPA,L14,St. Patrick's Cathedral,15.93,Metrô + caminhada,67,85,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L07-L15,L07,WORLD SPA,L15,Bryant Park,15.4,Metrô + caminhada,65,80,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L07-L16,L07,WORLD SPA,L16,NYPL — Schwarzman Building,15.34,Metrô + caminhada,65,80,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L07-L17,L07,WORLD SPA,L17,Grand Central Terminal,15.29,Metrô + caminhada,65,80,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L07-L18,L07,WORLD SPA,L18,Tudor City Overpass,14.88,Metrô + caminhada,64,80,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L07-L19,L07,WORLD SPA,L19,United Nations Headquarters,14.95,Metrô + caminhada,64,80,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L07-L20,L07,WORLD SPA,L20,Moynihan Train Hall,15.2,Metrô + caminhada,65,80,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L07-L21,L07,WORLD SPA,L21,Herald Square,15.03,Metrô + caminhada,64,80,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L07-L22,L07,WORLD SPA,L22,Empire State Building,14.82,Metrô + caminhada,63,80,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L07-L23,L07,WORLD SPA,L23,Madison Square Garden,15.1,Metrô + caminhada,64,80,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L07-L24,L07,WORLD SPA,L24,Gerald Schoenfeld Theatre — Broadway,15.95,Metrô + caminhada,67,85,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L07-L25,L07,WORLD SPA,L25,Times Square,15.8,Metrô + caminhada,66,85,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L07-L26,L07,WORLD SPA,L26,Flatiron Building,14.02,Metrô + caminhada,61,80,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L07-L27,L07,WORLD SPA,L27,The Battery,10.28,Metrô + caminhada,50,60,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L07-L28,L07,WORLD SPA,L28,Chinatown — Columbus Park,11.27,Metrô + caminhada,53,65,Baixa/Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L07-L29,L07,WORLD SPA,L29,Brooklyn Bridge,10.19,Metrô + caminhada,50,60,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L07-L30,L07,WORLD SPA,L30,DUMBO — Washington & Water,9.84,Metrô/ônibus + caminhada,46,60,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L07-L31,L07,WORLD SPA,L31,Brooklyn Bridge Park — Pier 1,9.8,Metrô/ônibus + caminhada,45,55,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L07-L32,L07,WORLD SPA,L32,Brooklyn Heights Promenade,9.32,Metrô/ônibus + caminhada,44,55,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L08-L09,L08,ARTE MUSEUM New York,L09,Chelsea Market,0.77,Caminhada,10,15,Alta,Mesmo cluster; tempo operacional curto.
L08-L10,L08,ARTE MUSEUM New York,L10,High Line — Chelsea/Gansevoort,0.64,Caminhada,10,12,Alta,Mesmo cluster; tempo operacional curto.
L08-L11,L08,ARTE MUSEUM New York,L11,Little Island,0.62,Caminhada,6,8,Alta,Mesmo cluster; tempo operacional curto.
L08-L12,L08,ARTE MUSEUM New York,L12,MoMA,3.19,Metrô/ônibus + caminhada,19,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L08-L13,L08,ARTE MUSEUM New York,L13,Rockefeller Center,2.95,Metrô/ônibus + caminhada,18,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L08-L14,L08,ARTE MUSEUM New York,L14,St. Patrick's Cathedral,3.14,Metrô/ônibus + caminhada,19,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L08-L15,L08,ARTE MUSEUM New York,L15,Bryant Park,2.38,Metrô/ônibus + caminhada,16,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L08-L16,L08,ARTE MUSEUM New York,L16,NYPL — Schwarzman Building,2.47,Metrô/ônibus + caminhada,17,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L08-L17,L08,ARTE MUSEUM New York,L17,Grand Central Terminal,2.87,Metrô/ônibus + caminhada,18,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L08-L18,L08,ARTE MUSEUM New York,L18,Tudor City Overpass,3.38,Metrô/ônibus + caminhada,19,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L08-L19,L08,ARTE MUSEUM New York,L19,United Nations Headquarters,3.63,Metrô/ônibus + caminhada,20,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L08-L20,L08,ARTE MUSEUM New York,L20,Moynihan Train Hall,1.35,Metrô/ônibus + caminhada,13,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L08-L21,L08,ARTE MUSEUM New York,L21,Herald Square,1.95,Metrô/ônibus + caminhada,15,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L08-L22,L08,ARTE MUSEUM New York,L22,Empire State Building,2.1,Metrô/ônibus + caminhada,16,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L08-L23,L08,ARTE MUSEUM New York,L23,Madison Square Garden,1.47,Metrô/ônibus + caminhada,14,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L08-L24,L08,ARTE MUSEUM New York,L24,Gerald Schoenfeld Theatre — Broadway,2.3,Metrô/ônibus + caminhada,16,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L08-L25,L08,ARTE MUSEUM New York,L25,Times Square,2.33,Metrô/ônibus + caminhada,16,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L08-L26,L08,ARTE MUSEUM New York,L26,Flatiron Building,1.9,Metrô/ônibus + caminhada,15,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L08-L27,L08,ARTE MUSEUM New York,L27,The Battery,4.99,Metrô/ônibus + caminhada,24,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L08-L28,L08,ARTE MUSEUM New York,L28,Chinatown — Columbus Park,3.72,Metrô/ônibus + caminhada,21,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L08-L29,L08,ARTE MUSEUM New York,L29,Brooklyn Bridge,4.81,Metrô/ônibus + caminhada,24,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L08-L30,L08,ARTE MUSEUM New York,L30,DUMBO — Washington & Water,5.23,Metrô + caminhada,30,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L08-L31,L08,ARTE MUSEUM New York,L31,Brooklyn Bridge Park — Pier 1,5.19,Metrô + caminhada,30,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L08-L32,L08,ARTE MUSEUM New York,L32,Brooklyn Heights Promenade,5.66,Metrô + caminhada,31,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L09-L10,L09,Chelsea Market,L10,High Line — Chelsea/Gansevoort,0.24,Caminhada,4,6,Alta,Mesmo cluster; tempo operacional curto.
L09-L11,L09,Chelsea Market,L11,Little Island,0.48,Caminhada,7,9,Alta,Mesmo cluster; tempo operacional curto.
L09-L12,L09,Chelsea Market,L12,MoMA,3.17,Metrô/ônibus + caminhada,19,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L09-L13,L09,Chelsea Market,L13,Rockefeller Center,2.89,Metrô/ônibus + caminhada,18,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L09-L14,L09,Chelsea Market,L14,St. Patrick's Cathedral,3.03,Metrô/ônibus + caminhada,18,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L09-L15,L09,Chelsea Market,L15,Bryant Park,2.22,Metrô/ônibus + caminhada,16,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L09-L16,L09,Chelsea Market,L16,NYPL — Schwarzman Building,2.28,Metrô/ônibus + caminhada,16,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L09-L17,L09,Chelsea Market,L17,Grand Central Terminal,2.62,Metrô/ônibus + caminhada,17,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L09-L18,L09,Chelsea Market,L18,Tudor City Overpass,3.0,Metrô/ônibus + caminhada,18,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L09-L19,L09,Chelsea Market,L19,United Nations Headquarters,3.26,Metrô/ônibus + caminhada,19,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L09-L20,L09,Chelsea Market,L20,Moynihan Train Hall,1.31,Metrô/ônibus + caminhada,13,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L09-L21,L09,Chelsea Market,L21,Herald Square,1.72,Metrô/ônibus + caminhada,14,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L09-L22,L09,Chelsea Market,L22,Empire State Building,1.77,Metrô/ônibus + caminhada,14,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L09-L23,L09,Chelsea Market,L23,Madison Square Garden,1.34,Metrô/ônibus + caminhada,13,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L09-L24,L09,Chelsea Market,L24,Gerald Schoenfeld Theatre — Broadway,2.35,Metrô/ônibus + caminhada,16,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L09-L25,L09,Chelsea Market,L25,Times Square,2.32,Metrô/ônibus + caminhada,16,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L09-L26,L09,Chelsea Market,L26,Flatiron Building,1.29,Metrô/ônibus + caminhada,13,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L09-L27,L09,Chelsea Market,L27,The Battery,4.46,Metrô/ônibus + caminhada,23,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L09-L28,L09,Chelsea Market,L28,Chinatown — Columbus Park,3.03,Metrô/ônibus + caminhada,18,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L09-L29,L09,Chelsea Market,L29,Brooklyn Bridge,4.11,Metrô/ônibus + caminhada,22,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L09-L30,L09,Chelsea Market,L30,DUMBO — Washington & Water,4.5,Metrô + caminhada,27,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L09-L31,L09,Chelsea Market,L31,Brooklyn Bridge Park — Pier 1,4.49,Metrô + caminhada,27,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L09-L32,L09,Chelsea Market,L32,Brooklyn Heights Promenade,4.98,Metrô + caminhada,29,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L10-L11,L10,High Line — Chelsea/Gansevoort,L11,Little Island,0.24,Caminhada,3,5,Alta,Mesmo cluster; tempo operacional curto.
L10-L12,L10,High Line — Chelsea/Gansevoort,L12,MoMA,3.34,Metrô/ônibus + caminhada,19,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L10-L13,L10,High Line — Chelsea/Gansevoort,L13,Rockefeller Center,3.07,Metrô/ônibus + caminhada,19,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L10-L14,L10,High Line — Chelsea/Gansevoort,L14,St. Patrick's Cathedral,3.22,Metrô/ônibus + caminhada,19,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L10-L15,L10,High Line — Chelsea/Gansevoort,L15,Bryant Park,2.41,Metrô/ônibus + caminhada,16,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L10-L16,L10,High Line — Chelsea/Gansevoort,L16,NYPL — Schwarzman Building,2.48,Metrô/ônibus + caminhada,17,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L10-L17,L10,High Line — Chelsea/Gansevoort,L17,Grand Central Terminal,2.84,Metrô/ônibus + caminhada,18,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L10-L18,L10,High Line — Chelsea/Gansevoort,L18,Tudor City Overpass,3.23,Metrô/ônibus + caminhada,19,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L10-L19,L10,High Line — Chelsea/Gansevoort,L19,United Nations Headquarters,3.49,Metrô/ônibus + caminhada,20,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L10-L20,L10,High Line — Chelsea/Gansevoort,L20,Moynihan Train Hall,1.46,Metrô/ônibus + caminhada,14,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L10-L21,L10,High Line — Chelsea/Gansevoort,L21,Herald Square,1.92,Metrô/ônibus + caminhada,15,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L10-L22,L10,High Line — Chelsea/Gansevoort,L22,Empire State Building,1.99,Metrô/ônibus + caminhada,15,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L10-L23,L10,High Line — Chelsea/Gansevoort,L23,Madison Square Garden,1.52,Metrô/ônibus + caminhada,14,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L10-L24,L10,High Line — Chelsea/Gansevoort,L24,Gerald Schoenfeld Theatre — Broadway,2.5,Metrô/ônibus + caminhada,17,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L10-L25,L10,High Line — Chelsea/Gansevoort,L25,Times Square,2.49,Metrô/ônibus + caminhada,17,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L10-L26,L10,High Line — Chelsea/Gansevoort,L26,Flatiron Building,1.53,Metrô/ônibus + caminhada,14,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L10-L27,L10,High Line — Chelsea/Gansevoort,L27,The Battery,4.43,Metrô/ônibus + caminhada,23,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L10-L28,L10,High Line — Chelsea/Gansevoort,L28,Chinatown — Columbus Park,3.08,Metrô/ônibus + caminhada,19,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L10-L29,L10,High Line — Chelsea/Gansevoort,L29,Brooklyn Bridge,4.17,Metrô/ônibus + caminhada,22,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L10-L30,L10,High Line — Chelsea/Gansevoort,L30,DUMBO — Washington & Water,4.59,Metrô + caminhada,28,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L10-L31,L10,High Line — Chelsea/Gansevoort,L31,Brooklyn Bridge Park — Pier 1,4.55,Metrô + caminhada,28,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L10-L32,L10,High Line — Chelsea/Gansevoort,L32,Brooklyn Heights Promenade,5.03,Metrô + caminhada,29,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L11-L12,L11,Little Island,L12,MoMA,3.54,Metrô/ônibus + caminhada,20,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L11-L13,L11,Little Island,L13,Rockefeller Center,3.27,Metrô/ônibus + caminhada,19,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L11-L14,L11,Little Island,L14,St. Patrick's Cathedral,3.43,Metrô/ônibus + caminhada,20,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L11-L15,L11,Little Island,L15,Bryant Park,2.63,Metrô/ônibus + caminhada,17,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L11-L16,L11,Little Island,L16,NYPL — Schwarzman Building,2.69,Metrô/ônibus + caminhada,17,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L11-L17,L11,Little Island,L17,Grand Central Terminal,3.06,Metrô/ônibus + caminhada,18,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L11-L18,L11,Little Island,L18,Tudor City Overpass,3.47,Metrô/ônibus + caminhada,20,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L11-L19,L11,Little Island,L19,United Nations Headquarters,3.72,Metrô/ônibus + caminhada,21,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L11-L20,L11,Little Island,L20,Moynihan Train Hall,1.65,Metrô/ônibus + caminhada,14,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L11-L21,L11,Little Island,L21,Herald Square,2.14,Metrô/ônibus + caminhada,16,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L11-L22,L11,Little Island,L22,Empire State Building,2.22,Metrô/ônibus + caminhada,16,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L11-L23,L11,Little Island,L23,Madison Square Garden,1.72,Metrô/ônibus + caminhada,14,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L11-L24,L11,Little Island,L24,Gerald Schoenfeld Theatre — Broadway,2.68,Metrô/ônibus + caminhada,17,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L11-L25,L11,Little Island,L25,Times Square,2.68,Metrô/ônibus + caminhada,17,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L11-L26,L11,Little Island,L26,Flatiron Building,1.77,Metrô/ônibus + caminhada,14,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L11-L27,L11,Little Island,L27,The Battery,4.38,Metrô/ônibus + caminhada,23,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L11-L28,L11,Little Island,L28,Chinatown — Columbus Park,3.12,Metrô/ônibus + caminhada,19,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L11-L29,L11,Little Island,L29,Brooklyn Bridge,4.21,Metrô/ônibus + caminhada,22,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L11-L30,L11,Little Island,L30,DUMBO — Washington & Water,4.66,Metrô + caminhada,28,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L11-L31,L11,Little Island,L31,Brooklyn Bridge Park — Pier 1,4.59,Metrô + caminhada,28,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L11-L32,L11,Little Island,L32,Brooklyn Heights Promenade,5.06,Metrô + caminhada,29,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L12-L13,L12,MoMA,L13,Rockefeller Center,0.32,Caminhada,4,6,Alta,Mesmo cluster; tempo operacional curto.
L12-L14,L12,MoMA,L14,St. Patrick's Cathedral,0.35,Caminhada,5,7,Alta,Mesmo cluster; tempo operacional curto.
L12-L15,L12,MoMA,L15,Bryant Park,1.01,Caminhada,18,25,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L12-L16,L12,MoMA,L16,NYPL — Schwarzman Building,1.01,Caminhada,18,25,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L12-L17,L12,MoMA,L17,Grand Central Terminal,0.98,Caminhada,18,25,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L12-L18,L12,MoMA,L18,Tudor City Overpass,1.52,Metrô/ônibus + caminhada,14,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L12-L19,L12,MoMA,L19,United Nations Headquarters,1.58,Metrô/ônibus + caminhada,14,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L12-L20,L12,MoMA,L20,Moynihan Train Hall,1.89,Metrô/ônibus + caminhada,15,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L12-L21,L12,MoMA,L21,Herald Square,1.52,Metrô/ônibus + caminhada,14,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L12-L22,L12,MoMA,L22,Empire State Building,1.62,Metrô/ônibus + caminhada,14,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L12-L23,L12,MoMA,L23,Madison Square Garden,1.82,Metrô/ônibus + caminhada,15,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L12-L24,L12,MoMA,L24,Gerald Schoenfeld Theatre — Broadway,0.9,Caminhada,16,25,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L12-L25,L12,MoMA,L25,Times Square,0.86,Caminhada,16,25,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L12-L26,L12,MoMA,L26,Flatiron Building,2.51,Metrô/ônibus + caminhada,17,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L12-L27,L12,MoMA,L27,The Battery,7.29,Metrô/ônibus + caminhada,32,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L12-L28,L12,MoMA,L28,Chinatown — Columbus Park,5.51,Metrô/ônibus + caminhada,26,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L12-L29,L12,MoMA,L29,Brooklyn Bridge,6.42,Metrô/ônibus + caminhada,29,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L12-L30,L12,MoMA,L30,DUMBO — Washington & Water,6.57,Metrô + caminhada,34,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L12-L31,L12,MoMA,L31,Brooklyn Bridge Park — Pier 1,6.8,Metrô + caminhada,34,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L12-L32,L12,MoMA,L32,Brooklyn Heights Promenade,7.3,Metrô + caminhada,36,50,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L13-L14,L13,Rockefeller Center,L14,St. Patrick's Cathedral,0.21,Caminhada,3,4,Alta,Mesmo cluster; tempo operacional curto.
L13-L15,L13,Rockefeller Center,L15,Bryant Park,0.69,Caminhada,13,20,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L13-L16,L13,Rockefeller Center,L16,NYPL — Schwarzman Building,0.69,Caminhada,13,20,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L13-L17,L13,Rockefeller Center,L17,Grand Central Terminal,0.69,Caminhada,13,20,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L13-L18,L13,Rockefeller Center,L18,Tudor City Overpass,1.3,Metrô/ônibus + caminhada,13,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L13-L19,L13,Rockefeller Center,L19,United Nations Headquarters,1.4,Metrô/ônibus + caminhada,13,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L13-L20,L13,Rockefeller Center,L20,Moynihan Train Hall,1.63,Metrô/ônibus + caminhada,14,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L13-L21,L13,Rockefeller Center,L21,Herald Square,1.21,Caminhada,21,30,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L13-L22,L13,Rockefeller Center,L22,Empire State Building,1.29,Metrô/ônibus + caminhada,13,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L13-L23,L13,Rockefeller Center,L23,Madison Square Garden,1.55,Metrô/ônibus + caminhada,14,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L13-L24,L13,Rockefeller Center,L24,Gerald Schoenfeld Theatre — Broadway,0.73,Caminhada,14,20,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L13-L25,L13,Rockefeller Center,L25,Times Square,0.63,Caminhada,12,15,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L13-L26,L13,Rockefeller Center,L26,Flatiron Building,2.18,Metrô/ônibus + caminhada,16,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L13-L27,L13,Rockefeller Center,L27,The Battery,6.97,Metrô/ônibus + caminhada,31,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L13-L28,L13,Rockefeller Center,L28,Chinatown — Columbus Park,5.18,Metrô/ônibus + caminhada,25,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
